,Total investment,Gross national savings,General government revenue,General government total expenditure,General government net lending/borrowing,General government primary net lending/borrowing,General government net debt,General government gross debt,Current account balance,GDP GROWTH,Exports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Imports of goods and services (% of GDP),Expense (% of GDP),Domestic credit to private sector (% of GDP),Research and development expenditure (% of GDP),Tax revenue (% of GDP)
0,,,,,,,,,,0,0,0,0,0,5.979514377,0,0
1,,,,,,,,,,0,0,0,0,0,5.837979043,0,0
2,,,,,,,,,,0,0,0,0,0,0,0,0
3,,,,,,,,,,0,0,0,0,0,0,0,0
4,,,,,,,,,,0,0,0,0,0,0,0,0
5,,,,,,,,,,0,0,0,0,0,0,0,0
6,,,,,,,,,,0,0,0,0,0,0,0,0
7,,,,,,,,,,0,0,0,0,0,0,0,0
8,,,,,,,,,,0,0,0,0,0,0,0,0
9,,,,,,,,,,0,0,0,0,0,0,0,0
10,,,,,,,,,,0,0,0,0,0,0,0,0
11,,,,,,,,,,0,0,0,0,0,0,0,0
12,,,,,,,,,,0,0,0,0,0,0,0,0
13,,,,,,,,,,0,0,0,0,0,0,0,0
14,,,,,,,,,,0,0,0,0,0,0,0,0
15,,,,,,,,,,0,0,0,0,0,0,0,0
16,,,,,,,,,,0,0,0,0,0,0,0,0
17,,,,,,,,,,0,0,0,0,0,0,0,0
18,,,,,,,,,,0,0,0,0,0,0,0,0
19,,,,,,,,,,0,0,0,0,0,0,0,0
20,,,,,,,,,,0,0,0,0,0,0,0,0
21,,,,,,,,,,0,0,0,0,0,0,0,0
22,27.243,61.151,6.845,6.943,-0.098,,,345.977,33.908,0,0,0,0,0,0,0,0
23,30.102,59.718,9.826,11.927,-2.102,,,270.602,29.616,8.832277813,0,0,0,0,0,0,0
24,35.354,72.57,12.676,15.069,-2.393,-2.393,,244.967,37.216,1.414117981,0,0,0,0,0,0,0
25,37.048,67.274,14.733,15.698,-0.965,-0.917,,206.356,30.226,11.22971482,0,12.68626872,0,0,0,0,0
26,29.489,50.333,18.946,18.303,0.643,0.684,,22.985,20.844,5.357403251,0,6.78459655,0,20.57817377,4.842856866,0,6.967597575
27,55.852,119.243,18.986,21.478,-2.492,-2.462,,20.137,63.39,13.82631955,0,8.680570785,0,24.24325882,6.839982237,0,5.283456604
28,30.222,63.99,17.036,20.918,-3.882,-3.864,,19.057,33.769,3.924983822,0,26.41866415,0,50.71929787,9.388327721,0,6.08796493
29,36.503,78.09,19.391,21.17,-1.779,-1.761,,16.247,41.587,21.39052839,0,-6.811161089,0,44.31783924,10.58413068,0,8.481758361
30,30.269,59.699,21.722,20.801,0.922,0.933,,7.697,29.43,14.36244147,0,2.178537524,0,50.8630046,11.57504424,0,9.169751919
31,26.407,52.981,21.265,21.937,-0.672,-0.573,,7.501,26.574,0.426354785,0,11.80418581,0,59.48477588,4.959180376,0,8.916793996
32,25.34,36.204,25.21,25.028,0.182,0.257,,6.759,10.864,12.75228709,0,6.441212809,0,42.32925145,4.47210363,0,7.707800603
